date,Jamie Lynn Spears,Dancing with the Stars,normalized_score
2023-09-26,2,26,7.6923076923076925
2023-09-27,14,100,14.000000000000002
2023-09-28,4,24,16.666666666666664
2023-09-29,2,13,15.384615384615385
2023-09-30,2,10,20.0
2023-10-01,2,10,20.0
2023-10-02,1,10,10.0
2023-10-03,2,16,12.5
2023-10-04,14,50,28.000000000000004
2023-10-05,6,13,46.15384615384615
2023-10-06,3,8,37.5
2023-10-07,2,8,25.0
2023-10-08,2,6,33.33333333333333
2023-10-09,1,7,14.285714285714285
2023-10-10,1,11,9.090909090909092
2023-10-11,2,51,3.9215686274509802
2023-10-12,1,11,9.090909090909092
2023-10-13,1,6,16.666666666666664
2023-10-14,1,6,16.666666666666664
2023-10-15,1,6,16.666666666666664
2023-10-16,1,6,16.666666666666664
2023-10-17,1,10,10.0
2023-10-18,1,43,2.3255813953488373
2023-10-19,1,14,7.142857142857142
2023-10-20,1,8,12.5
2023-10-21,1,6,16.666666666666664
2023-10-22,1,6,16.666666666666664
2023-10-23,1,6,16.666666666666664
2023-10-24,1,11,9.090909090909092
2023-10-25,2,50,4.0
2023-10-26,2,25,8.0
2023-10-27,2,11,18.181818181818183
2023-10-28,2,7,28.57142857142857
2023-10-29,2,5,40.0
2023-10-30,2,5,40.0
2023-10-31,1,8,12.5
2023-11-01,1,35,2.857142857142857
2023-11-02,1,8,12.5
2023-11-03,2,6,33.33333333333333
2023-11-04,2,6,33.33333333333333
2023-11-05,2,5,40.0
2023-11-06,1,5,20.0
2023-11-07,1,7,14.285714285714285
2023-11-08,1,43,2.3255813953488373
2023-11-09,1,10,10.0
2023-11-10,1,7,14.285714285714285
2023-11-11,1,6,16.666666666666664
2023-11-12,2,6,33.33333333333333
2023-11-13,1,4,25.0
2023-11-14,1,7,14.285714285714285
2023-11-15,1,48,2.083333333333333
2023-11-16,3,15,20.0
2023-11-17,3,8,37.5
2023-11-18,2,6,33.33333333333333
2023-11-19,2,6,33.33333333333333
2023-11-20,2,5,40.0
2023-11-21,3,13,23.076923076923077
2023-11-22,4,78,5.128205128205128
2023-11-23,3,13,23.076923076923077
2023-11-24,2,7,28.57142857142857
2023-11-25,3,7,42.857142857142854
2023-11-26,2,6,33.33333333333333
2023-11-27,1,5,20.0
2023-11-28,2,8,25.0
2023-11-29,2,53,3.7735849056603774
2023-11-30,1,12,8.333333333333332
2023-12-01,1,7,14.285714285714285
2023-12-02,1,7,14.285714285714285
2023-12-03,1,6,16.666666666666664
2023-12-04,1,5,20.0
2023-12-05,1,13,7.6923076923076925
