date,Mira Sorvino,Dancing with the Stars,normalized_score
2023-09-26,1,26,3.8461538461538463
2023-09-27,24,100,24.0
2023-09-28,5,24,20.833333333333336
2023-09-29,3,13,23.076923076923077
2023-09-30,2,10,20.0
2023-10-01,2,10,20.0
2023-10-02,1,10,10.0
2023-10-03,1,16,6.25
2023-10-04,12,50,24.0
2023-10-05,3,13,23.076923076923077
2023-10-06,2,8,25.0
2023-10-07,1,8,12.5
2023-10-08,1,6,16.666666666666664
2023-10-09,1,7,14.285714285714285
2023-10-10,1,11,9.090909090909092
2023-10-11,12,51,23.52941176470588
2023-10-12,3,11,27.27272727272727
2023-10-13,2,6,33.33333333333333
2023-10-14,1,6,16.666666666666664
2023-10-15,1,6,16.666666666666664
2023-10-16,1,6,16.666666666666664
2023-10-17,1,10,10.0
2023-10-18,8,43,18.6046511627907
2023-10-19,2,14,14.285714285714285
2023-10-20,2,8,25.0
2023-10-21,2,6,33.33333333333333
2023-10-22,1,6,16.666666666666664
2023-10-23,1,6,16.666666666666664
2023-10-24,1,11,9.090909090909092
2023-10-25,12,50,24.0
2023-10-26,12,25,48.0
2023-10-27,3,11,27.27272727272727
2023-10-28,2,7,28.57142857142857
2023-10-29,3,5,60.0
2023-10-30,2,5,40.0
2023-10-31,1,8,12.5
2023-11-01,1,35,2.857142857142857
2023-11-02,1,8,12.5
2023-11-03,1,6,16.666666666666664
2023-11-04,1,6,16.666666666666664
2023-11-05,1,5,20.0
2023-11-06,1,5,20.0
2023-11-07,1,7,14.285714285714285
2023-11-08,1,43,2.3255813953488373
2023-11-09,0,10,0.0
2023-11-10,0,7,0.0
2023-11-11,1,6,16.666666666666664
2023-11-12,1,6,16.666666666666664
2023-11-13,1,4,25.0
2023-11-14,1,7,14.285714285714285
2023-11-15,1,48,2.083333333333333
2023-11-16,1,15,6.666666666666667
2023-11-17,0,8,0.0
2023-11-18,1,6,16.666666666666664
2023-11-19,1,6,16.666666666666664
2023-11-20,0,5,0.0
2023-11-21,1,13,7.6923076923076925
2023-11-22,1,78,1.282051282051282
2023-11-23,1,13,7.6923076923076925
2023-11-24,1,7,14.285714285714285
2023-11-25,1,7,14.285714285714285
2023-11-26,1,6,16.666666666666664
2023-11-27,0,5,0.0
2023-11-28,0,8,0.0
2023-11-29,0,53,0.0
2023-11-30,0,12,0.0
2023-12-01,0,7,0.0
2023-12-02,0,7,0.0
2023-12-03,0,6,0.0
2023-12-04,0,5,0.0
2023-12-05,0,13,0.0
