date,Anna Delvey,Dancing with the Stars,normalized_score
2024-09-17,5,31,16.129032258064516
2024-09-18,59,100,59.0
2024-09-19,24,27,88.88888888888889
2024-09-20,18,18,100.0
2024-09-21,13,15,86.66666666666667
2024-09-22,12,16,75.0
2024-09-23,12,16,75.0
2024-09-24,7,26,26.923076923076923
2024-09-25,52,86,60.46511627906976
2024-09-26,27,24,112.5
2024-09-27,14,14,100.0
2024-09-28,11,11,100.0
2024-09-29,9,9,100.0
2024-09-30,7,9,77.77777777777779
2024-10-01,5,13,38.46153846153847
2024-10-02,5,13,38.46153846153847
2024-10-03,4,7,57.14285714285714
2024-10-04,3,7,42.857142857142854
2024-10-05,3,6,50.0
2024-10-06,3,6,50.0
2024-10-07,2,13,15.384615384615385
2024-10-08,2,42,4.761904761904762
2024-10-09,3,56,5.357142857142857
2024-10-10,2,15,13.333333333333334
2024-10-11,2,10,20.0
2024-10-12,2,9,22.22222222222222
2024-10-13,2,8,25.0
2024-10-14,2,11,18.181818181818183
2024-10-15,2,15,13.333333333333334
2024-10-16,2,51,3.9215686274509802
2024-10-17,1,14,7.142857142857142
2024-10-18,1,10,10.0
2024-10-19,1,8,12.5
2024-10-20,2,8,25.0
2024-10-21,1,8,12.5
2024-10-22,1,15,6.666666666666667
2024-10-23,1,61,1.639344262295082
2024-10-24,1,15,6.666666666666667
2024-10-25,1,11,9.090909090909092
2024-10-26,1,11,9.090909090909092
2024-10-27,1,9,11.11111111111111
2024-10-28,1,9,11.11111111111111
2024-10-29,1,14,7.142857142857142
2024-10-30,1,56,1.7857142857142856
2024-10-31,1,11,9.090909090909092
2024-11-01,1,9,11.11111111111111
2024-11-02,1,9,11.11111111111111
2024-11-03,1,7,14.285714285714285
2024-11-04,1,7,14.285714285714285
2024-11-05,1,7,14.285714285714285
2024-11-06,1,6,16.666666666666664
2024-11-07,1,6,16.666666666666664
2024-11-08,1,5,20.0
2024-11-09,1,5,20.0
2024-11-10,1,5,20.0
2024-11-11,1,6,16.666666666666664
2024-11-12,1,10,10.0
2024-11-13,1,61,1.639344262295082
2024-11-14,1,13,7.6923076923076925
2024-11-15,0,8,0.0
2024-11-16,1,8,12.5
2024-11-17,1,8,12.5
2024-11-18,1,6,16.666666666666664
2024-11-19,1,11,9.090909090909092
2024-11-20,1,74,1.3513513513513513
2024-11-21,1,15,6.666666666666667
2024-11-22,1,9,11.11111111111111
2024-11-23,1,14,7.142857142857142
2024-11-24,1,10,10.0
2024-11-25,1,10,10.0
2024-11-26,1,31,3.225806451612903
