date,Brooks Nader,Dancing with the Stars,normalized_score
2024-09-17,3,31,9.67741935483871
2024-09-18,14,100,14.000000000000002
2024-09-19,4,27,14.814814814814813
2024-09-20,2,18,11.11111111111111
2024-09-21,2,15,13.333333333333334
2024-09-22,2,16,12.5
2024-09-23,1,16,6.25
2024-09-24,1,26,3.8461538461538463
2024-09-25,17,86,19.767441860465116
2024-09-26,7,24,29.166666666666668
2024-09-27,3,14,21.428571428571427
2024-09-28,3,11,27.27272727272727
2024-09-29,2,9,22.22222222222222
2024-09-30,3,9,33.33333333333333
2024-10-01,2,13,15.384615384615385
2024-10-02,1,13,7.6923076923076925
2024-10-03,1,7,14.285714285714285
2024-10-04,1,7,14.285714285714285
2024-10-05,1,6,16.666666666666664
2024-10-06,1,6,16.666666666666664
2024-10-07,1,13,7.6923076923076925
2024-10-08,7,42,16.666666666666664
2024-10-09,10,56,17.857142857142858
2024-10-10,3,15,20.0
2024-10-11,2,10,20.0
2024-10-12,2,9,22.22222222222222
2024-10-13,2,8,25.0
2024-10-14,2,11,18.181818181818183
2024-10-15,1,15,6.666666666666667
2024-10-16,20,51,39.21568627450981
2024-10-17,6,14,42.857142857142854
2024-10-18,3,10,30.0
2024-10-19,3,8,37.5
2024-10-20,2,8,25.0
2024-10-21,1,8,12.5
2024-10-22,1,15,6.666666666666667
2024-10-23,2,61,3.278688524590164
2024-10-24,1,15,6.666666666666667
2024-10-25,1,11,9.090909090909092
2024-10-26,2,11,18.181818181818183
2024-10-27,2,9,22.22222222222222
2024-10-28,1,9,11.11111111111111
2024-10-29,1,14,7.142857142857142
2024-10-30,1,56,1.7857142857142856
2024-10-31,1,11,9.090909090909092
2024-11-01,1,9,11.11111111111111
2024-11-02,1,9,11.11111111111111
2024-11-03,1,7,14.285714285714285
2024-11-04,0,7,0.0
2024-11-05,0,7,0.0
2024-11-06,0,6,0.0
2024-11-07,0,6,0.0
2024-11-08,1,5,20.0
2024-11-09,0,5,0.0
2024-11-10,0,5,0.0
2024-11-11,0,6,0.0
2024-11-12,1,10,10.0
2024-11-13,1,61,1.639344262295082
2024-11-14,1,13,7.6923076923076925
2024-11-15,1,8,12.5
2024-11-16,0,8,0.0
2024-11-17,0,8,0.0
2024-11-18,0,6,0.0
2024-11-19,0,11,0.0
2024-11-20,1,74,1.3513513513513513
2024-11-21,0,15,0.0
2024-11-22,0,9,0.0
2024-11-23,0,14,0.0
2024-11-24,0,10,0.0
2024-11-25,0,10,0.0
2024-11-26,2,31,6.451612903225806
