date,Chandler Kinney,Dancing with the Stars,normalized_score
2024-09-17,0,31,0.0
2024-09-18,8,100,8.0
2024-09-19,2,27,7.4074074074074066
2024-09-20,1,18,5.555555555555555
2024-09-21,1,15,6.666666666666667
2024-09-22,1,16,6.25
2024-09-23,1,16,6.25
2024-09-24,1,26,3.8461538461538463
2024-09-25,10,86,11.627906976744185
2024-09-26,2,24,8.333333333333332
2024-09-27,1,14,7.142857142857142
2024-09-28,1,11,9.090909090909092
2024-09-29,1,9,11.11111111111111
2024-09-30,1,9,11.11111111111111
2024-10-01,0,13,0.0
2024-10-02,0,13,0.0
2024-10-03,0,7,0.0
2024-10-04,0,7,0.0
2024-10-05,0,6,0.0
2024-10-06,0,6,0.0
2024-10-07,0,13,0.0
2024-10-08,6,42,14.285714285714285
2024-10-09,8,56,14.285714285714285
2024-10-10,2,15,13.333333333333334
2024-10-11,1,10,10.0
2024-10-12,2,9,22.22222222222222
2024-10-13,1,8,12.5
2024-10-14,1,11,9.090909090909092
2024-10-15,1,15,6.666666666666667
2024-10-16,3,51,5.88235294117647
2024-10-17,1,14,7.142857142857142
2024-10-18,1,10,10.0
2024-10-19,1,8,12.5
2024-10-20,1,8,12.5
2024-10-21,1,8,12.5
2024-10-22,1,15,6.666666666666667
2024-10-23,4,61,6.557377049180328
2024-10-24,1,15,6.666666666666667
2024-10-25,1,11,9.090909090909092
2024-10-26,1,11,9.090909090909092
2024-10-27,1,9,11.11111111111111
2024-10-28,0,9,0.0
2024-10-29,0,14,0.0
2024-10-30,2,56,3.571428571428571
2024-10-31,1,11,9.090909090909092
2024-11-01,0,9,0.0
2024-11-02,1,9,11.11111111111111
2024-11-03,1,7,14.285714285714285
2024-11-04,0,7,0.0
2024-11-05,0,7,0.0
2024-11-06,0,6,0.0
2024-11-07,0,6,0.0
2024-11-08,0,5,0.0
2024-11-09,0,5,0.0
2024-11-10,0,5,0.0
2024-11-11,0,6,0.0
2024-11-12,0,10,0.0
2024-11-13,6,61,9.836065573770492
2024-11-14,1,13,7.6923076923076925
2024-11-15,1,8,12.5
2024-11-16,1,8,12.5
2024-11-17,1,8,12.5
2024-11-18,0,6,0.0
2024-11-19,1,11,9.090909090909092
2024-11-20,7,74,9.45945945945946
2024-11-21,1,15,6.666666666666667
2024-11-22,1,9,11.11111111111111
2024-11-23,1,14,7.142857142857142
2024-11-24,1,10,10.0
2024-11-25,1,10,10.0
2024-11-26,1,31,3.225806451612903
