date,Danny Amendola,Dancing with the Stars,normalized_score
2024-09-17,1,31,3.225806451612903
2024-09-18,18,100,18.0
2024-09-19,5,27,18.51851851851852
2024-09-20,2,18,11.11111111111111
2024-09-21,2,15,13.333333333333334
2024-09-22,1,16,6.25
2024-09-23,1,16,6.25
2024-09-24,1,26,3.8461538461538463
2024-09-25,10,86,11.627906976744185
2024-09-26,3,24,12.5
2024-09-27,2,14,14.285714285714285
2024-09-28,2,11,18.181818181818183
2024-09-29,1,9,11.11111111111111
2024-09-30,1,9,11.11111111111111
2024-10-01,1,13,7.6923076923076925
2024-10-02,1,13,7.6923076923076925
2024-10-03,0,7,0.0
2024-10-04,0,7,0.0
2024-10-05,1,6,16.666666666666664
2024-10-06,0,6,0.0
2024-10-07,0,13,0.0
2024-10-08,5,42,11.904761904761903
2024-10-09,6,56,10.714285714285714
2024-10-10,2,15,13.333333333333334
2024-10-11,1,10,10.0
2024-10-12,1,9,11.11111111111111
2024-10-13,1,8,12.5
2024-10-14,1,11,9.090909090909092
2024-10-15,1,15,6.666666666666667
2024-10-16,11,51,21.568627450980394
2024-10-17,3,14,21.428571428571427
2024-10-18,2,10,20.0
2024-10-19,4,8,50.0
2024-10-20,4,8,50.0
2024-10-21,3,8,37.5
2024-10-22,2,15,13.333333333333334
2024-10-23,10,61,16.39344262295082
2024-10-24,4,15,26.666666666666668
2024-10-25,4,11,36.36363636363637
2024-10-26,3,11,27.27272727272727
2024-10-27,5,9,55.55555555555556
2024-10-28,3,9,33.33333333333333
2024-10-29,2,14,14.285714285714285
2024-10-30,7,56,12.5
2024-10-31,2,11,18.181818181818183
2024-11-01,2,9,22.22222222222222
2024-11-02,2,9,22.22222222222222
2024-11-03,2,7,28.57142857142857
2024-11-04,1,7,14.285714285714285
2024-11-05,1,7,14.285714285714285
2024-11-06,0,6,0.0
2024-11-07,1,6,16.666666666666664
2024-11-08,1,5,20.0
2024-11-09,2,5,40.0
2024-11-10,1,5,20.0
2024-11-11,1,6,16.666666666666664
2024-11-12,1,10,10.0
2024-11-13,5,61,8.19672131147541
2024-11-14,1,13,7.6923076923076925
2024-11-15,1,8,12.5
2024-11-16,1,8,12.5
2024-11-17,1,8,12.5
2024-11-18,1,6,16.666666666666664
2024-11-19,1,11,9.090909090909092
2024-11-20,14,74,18.91891891891892
2024-11-21,3,15,20.0
2024-11-22,2,9,22.22222222222222
2024-11-23,2,14,14.285714285714285
2024-11-24,2,10,20.0
2024-11-25,1,10,10.0
2024-11-26,1,31,3.225806451612903
