date,Ilona Maher,Dancing with the Stars,normalized_score
2024-09-17,2,31,6.451612903225806
2024-09-18,18,100,18.0
2024-09-19,5,27,18.51851851851852
2024-09-20,3,18,16.666666666666664
2024-09-21,3,15,20.0
2024-09-22,3,16,18.75
2024-09-23,2,16,12.5
2024-09-24,2,26,7.6923076923076925
2024-09-25,16,86,18.6046511627907
2024-09-26,5,24,20.833333333333336
2024-09-27,3,14,21.428571428571427
2024-09-28,2,11,18.181818181818183
2024-09-29,2,9,22.22222222222222
2024-09-30,2,9,22.22222222222222
2024-10-01,2,13,15.384615384615385
2024-10-02,1,13,7.6923076923076925
2024-10-03,1,7,14.285714285714285
2024-10-04,1,7,14.285714285714285
2024-10-05,1,6,16.666666666666664
2024-10-06,1,6,16.666666666666664
2024-10-07,1,13,7.6923076923076925
2024-10-08,5,42,11.904761904761903
2024-10-09,9,56,16.071428571428573
2024-10-10,3,15,20.0
2024-10-11,2,10,20.0
2024-10-12,3,9,33.33333333333333
2024-10-13,2,8,25.0
2024-10-14,2,11,18.181818181818183
2024-10-15,1,15,6.666666666666667
2024-10-16,8,51,15.686274509803921
2024-10-17,3,14,21.428571428571427
2024-10-18,2,10,20.0
2024-10-19,2,8,25.0
2024-10-20,2,8,25.0
2024-10-21,1,8,12.5
2024-10-22,1,15,6.666666666666667
2024-10-23,16,61,26.229508196721312
2024-10-24,6,15,40.0
2024-10-25,5,11,45.45454545454545
2024-10-26,3,11,27.27272727272727
2024-10-27,4,9,44.44444444444444
2024-10-28,3,9,33.33333333333333
2024-10-29,3,14,21.428571428571427
2024-10-30,8,56,14.285714285714285
2024-10-31,4,11,36.36363636363637
2024-11-01,3,9,33.33333333333333
2024-11-02,7,9,77.77777777777779
2024-11-03,8,7,114.28571428571428
2024-11-04,5,7,71.42857142857143
2024-11-05,3,7,42.857142857142854
2024-11-06,2,6,33.33333333333333
2024-11-07,3,6,50.0
2024-11-08,2,5,40.0
2024-11-09,2,5,40.0
2024-11-10,2,5,40.0
2024-11-11,1,6,16.666666666666664
2024-11-12,1,10,10.0
2024-11-13,8,61,13.114754098360656
2024-11-14,2,13,15.384615384615385
2024-11-15,3,8,37.5
2024-11-16,4,8,50.0
2024-11-17,3,8,37.5
2024-11-18,2,6,33.33333333333333
2024-11-19,2,11,18.181818181818183
2024-11-20,13,74,17.56756756756757
2024-11-21,4,15,26.666666666666668
2024-11-22,3,9,33.33333333333333
2024-11-23,3,14,21.428571428571427
2024-11-24,2,10,20.0
2024-11-25,2,10,20.0
2024-11-26,3,31,9.67741935483871
