date,Reginald VelJohnson,Dancing with the Stars,normalized_score
2024-09-17,1,31,3.225806451612903
2024-09-18,6,100,6.0
2024-09-19,2,27,7.4074074074074066
2024-09-20,1,18,5.555555555555555
2024-09-21,1,15,6.666666666666667
2024-09-22,1,16,6.25
2024-09-23,1,16,6.25
2024-09-24,1,26,3.8461538461538463
2024-09-25,5,86,5.813953488372093
2024-09-26,2,24,8.333333333333332
2024-09-27,2,14,14.285714285714285
2024-09-28,1,11,9.090909090909092
2024-09-29,1,9,11.11111111111111
2024-09-30,0,9,0.0
2024-10-01,0,13,0.0
2024-10-02,1,13,7.6923076923076925
2024-10-03,0,7,0.0
2024-10-04,0,7,0.0
2024-10-05,0,6,0.0
2024-10-06,0,6,0.0
2024-10-07,0,13,0.0
2024-10-08,4,42,9.523809523809524
2024-10-09,7,56,12.5
2024-10-10,2,15,13.333333333333334
2024-10-11,1,10,10.0
2024-10-12,1,9,11.11111111111111
2024-10-13,1,8,12.5
2024-10-14,1,11,9.090909090909092
2024-10-15,1,15,6.666666666666667
2024-10-16,1,51,1.9607843137254901
2024-10-17,0,14,0.0
2024-10-18,0,10,0.0
2024-10-19,0,8,0.0
2024-10-20,0,8,0.0
2024-10-21,0,8,0.0
2024-10-22,0,15,0.0
2024-10-23,0,61,0.0
2024-10-24,0,15,0.0
2024-10-25,0,11,0.0
2024-10-26,0,11,0.0
2024-10-27,0,9,0.0
2024-10-28,0,9,0.0
2024-10-29,0,14,0.0
2024-10-30,0,56,0.0
2024-10-31,0,11,0.0
2024-11-01,0,9,0.0
2024-11-02,0,9,0.0
2024-11-03,0,7,0.0
2024-11-04,0,7,0.0
2024-11-05,0,7,0.0
2024-11-06,0,6,0.0
2024-11-07,0,6,0.0
2024-11-08,0,5,0.0
2024-11-09,0,5,0.0
2024-11-10,0,5,0.0
2024-11-11,0,6,0.0
2024-11-12,0,10,0.0
2024-11-13,0,61,0.0
2024-11-14,0,13,0.0
2024-11-15,0,8,0.0
2024-11-16,0,8,0.0
2024-11-17,0,8,0.0
2024-11-18,0,6,0.0
2024-11-19,0,11,0.0
2024-11-20,0,74,0.0
2024-11-21,0,15,0.0
2024-11-22,0,9,0.0
2024-11-23,0,14,0.0
2024-11-24,0,10,0.0
2024-11-25,0,10,0.0
2024-11-26,0,31,0.0
