date,Tori Spelling,Dancing with the Stars,normalized_score
2024-09-17,1,31,3.225806451612903
2024-09-18,19,100,19.0
2024-09-19,5,27,18.51851851851852
2024-09-20,3,18,16.666666666666664
2024-09-21,3,15,20.0
2024-09-22,3,16,18.75
2024-09-23,2,16,12.5
2024-09-24,2,26,7.6923076923076925
2024-09-25,22,86,25.581395348837212
2024-09-26,7,24,29.166666666666668
2024-09-27,4,14,28.57142857142857
2024-09-28,3,11,27.27272727272727
2024-09-29,2,9,22.22222222222222
2024-09-30,1,9,11.11111111111111
2024-10-01,1,13,7.6923076923076925
2024-10-02,2,13,15.384615384615385
2024-10-03,1,7,14.285714285714285
2024-10-04,1,7,14.285714285714285
2024-10-05,1,6,16.666666666666664
2024-10-06,1,6,16.666666666666664
2024-10-07,1,13,7.6923076923076925
2024-10-08,1,42,2.380952380952381
2024-10-09,1,56,1.7857142857142856
2024-10-10,1,15,6.666666666666667
2024-10-11,1,10,10.0
2024-10-12,1,9,11.11111111111111
2024-10-13,1,8,12.5
2024-10-14,1,11,9.090909090909092
2024-10-15,1,15,6.666666666666667
2024-10-16,1,51,1.9607843137254901
2024-10-17,1,14,7.142857142857142
2024-10-18,1,10,10.0
2024-10-19,1,8,12.5
2024-10-20,1,8,12.5
2024-10-21,1,8,12.5
2024-10-22,1,15,6.666666666666667
2024-10-23,1,61,1.639344262295082
2024-10-24,1,15,6.666666666666667
2024-10-25,1,11,9.090909090909092
2024-10-26,1,11,9.090909090909092
2024-10-27,0,9,0.0
2024-10-28,0,9,0.0
2024-10-29,0,14,0.0
2024-10-30,1,56,1.7857142857142856
2024-10-31,0,11,0.0
2024-11-01,1,9,11.11111111111111
2024-11-02,1,9,11.11111111111111
2024-11-03,1,7,14.285714285714285
2024-11-04,0,7,0.0
2024-11-05,0,7,0.0
2024-11-06,1,6,16.666666666666664
2024-11-07,0,6,0.0
2024-11-08,1,5,20.0
2024-11-09,1,5,20.0
2024-11-10,0,5,0.0
2024-11-11,0,6,0.0
2024-11-12,0,10,0.0
2024-11-13,0,61,0.0
2024-11-14,0,13,0.0
2024-11-15,0,8,0.0
2024-11-16,1,8,12.5
2024-11-17,0,8,0.0
2024-11-18,0,6,0.0
2024-11-19,0,11,0.0
2024-11-20,0,74,0.0
2024-11-21,0,15,0.0
2024-11-22,0,9,0.0
2024-11-23,0,14,0.0
2024-11-24,0,10,0.0
2024-11-25,0,10,0.0
2024-11-26,0,31,0.0
