date,Alix Earle,Dancing with the Stars,normalized_score
2025-09-16,1,48,2.083333333333333
2025-09-17,9,100,9.0
2025-09-18,2,26,7.6923076923076925
2025-09-19,2,13,15.384615384615385
2025-09-20,1,11,9.090909090909092
2025-09-21,1,9,11.11111111111111
2025-09-22,1,10,10.0
2025-09-23,1,23,4.3478260869565215
2025-09-24,5,72,6.944444444444445
2025-09-25,2,15,13.333333333333334
2025-09-26,1,9,11.11111111111111
2025-09-27,1,9,11.11111111111111
2025-09-28,1,7,14.285714285714285
2025-09-29,1,7,14.285714285714285
2025-09-30,1,15,6.666666666666667
2025-10-01,4,61,6.557377049180328
2025-10-02,2,16,12.5
2025-10-03,1,9,11.11111111111111
2025-10-04,1,8,12.5
2025-10-05,1,7,14.285714285714285
2025-10-06,1,6,16.666666666666664
2025-10-07,1,14,7.142857142857142
2025-10-08,5,66,7.575757575757576
2025-10-09,2,14,14.285714285714285
2025-10-10,1,10,10.0
2025-10-11,1,8,12.5
2025-10-12,2,7,28.57142857142857
2025-10-13,2,7,28.57142857142857
2025-10-14,1,15,6.666666666666667
2025-10-15,8,72,11.11111111111111
2025-10-16,2,15,13.333333333333334
2025-10-17,2,9,22.22222222222222
2025-10-18,1,7,14.285714285714285
2025-10-19,1,6,16.666666666666664
2025-10-20,1,5,20.0
2025-10-21,1,13,7.6923076923076925
2025-10-22,4,66,6.0606060606060606
2025-10-23,1,13,7.6923076923076925
2025-10-24,1,8,12.5
2025-10-25,1,7,14.285714285714285
2025-10-26,1,6,16.666666666666664
2025-10-27,1,6,16.666666666666664
2025-10-28,1,12,8.333333333333332
2025-10-29,3,69,4.3478260869565215
2025-10-30,2,12,16.666666666666664
2025-10-31,1,8,12.5
2025-11-01,1,6,16.666666666666664
2025-11-02,1,6,16.666666666666664
2025-11-03,1,5,20.0
2025-11-04,1,12,8.333333333333332
2025-11-05,5,81,6.172839506172839
2025-11-06,2,17,11.76470588235294
2025-11-07,1,9,11.11111111111111
2025-11-08,1,9,11.11111111111111
2025-11-09,1,7,14.285714285714285
2025-11-10,1,6,16.666666666666664
2025-11-11,1,12,8.333333333333332
2025-11-12,5,84,5.952380952380952
2025-11-13,2,16,12.5
2025-11-14,1,10,10.0
2025-11-15,1,9,11.11111111111111
2025-11-16,1,9,11.11111111111111
2025-11-17,1,8,12.5
2025-11-18,1,12,8.333333333333332
2025-11-19,9,95,9.473684210526317
2025-11-20,3,16,18.75
2025-11-21,2,11,18.181818181818183
2025-11-22,2,11,18.181818181818183
2025-11-23,1,10,10.0
2025-11-24,2,11,18.181818181818183
2025-11-25,3,39,7.6923076923076925
