date,Baron Davis,Dancing with the Stars,normalized_score
2025-09-16,0,48,0.0
2025-09-17,4,100,4.0
2025-09-18,1,26,3.8461538461538463
2025-09-19,0,13,0.0
2025-09-20,0,11,0.0
2025-09-21,0,9,0.0
2025-09-22,0,10,0.0
2025-09-23,0,23,0.0
2025-09-24,4,72,5.555555555555555
2025-09-25,1,15,6.666666666666667
2025-09-26,0,9,0.0
2025-09-27,0,9,0.0
2025-09-28,0,7,0.0
2025-09-29,0,7,0.0
2025-09-30,0,15,0.0
2025-10-01,0,61,0.0
2025-10-02,0,16,0.0
2025-10-03,0,9,0.0
2025-10-04,0,8,0.0
2025-10-05,0,7,0.0
2025-10-06,0,6,0.0
2025-10-07,0,14,0.0
2025-10-08,0,66,0.0
2025-10-09,0,14,0.0
2025-10-10,0,10,0.0
2025-10-11,0,8,0.0
2025-10-12,0,7,0.0
2025-10-13,0,7,0.0
2025-10-14,0,15,0.0
2025-10-15,0,72,0.0
2025-10-16,0,15,0.0
2025-10-17,0,9,0.0
2025-10-18,0,7,0.0
2025-10-19,0,6,0.0
2025-10-20,0,5,0.0
2025-10-21,0,13,0.0
2025-10-22,0,66,0.0
2025-10-23,0,13,0.0
2025-10-24,0,8,0.0
2025-10-25,0,7,0.0
2025-10-26,0,6,0.0
2025-10-27,0,6,0.0
2025-10-28,0,12,0.0
2025-10-29,0,69,0.0
2025-10-30,0,12,0.0
2025-10-31,0,8,0.0
2025-11-01,0,6,0.0
2025-11-02,0,6,0.0
2025-11-03,0,5,0.0
2025-11-04,0,12,0.0
2025-11-05,0,81,0.0
2025-11-06,0,17,0.0
2025-11-07,0,9,0.0
2025-11-08,0,9,0.0
2025-11-09,0,7,0.0
2025-11-10,0,6,0.0
2025-11-11,0,12,0.0
2025-11-12,0,84,0.0
2025-11-13,0,16,0.0
2025-11-14,0,10,0.0
2025-11-15,0,9,0.0
2025-11-16,0,9,0.0
2025-11-17,0,8,0.0
2025-11-18,0,12,0.0
2025-11-19,0,95,0.0
2025-11-20,0,16,0.0
2025-11-21,0,11,0.0
2025-11-22,0,11,0.0
2025-11-23,0,10,0.0
2025-11-24,0,11,0.0
2025-11-25,0,39,0.0
