date,Corey Feldman,Dancing with the Stars,normalized_score
2025-09-16,2,48,4.166666666666666
2025-09-17,17,100,17.0
2025-09-18,6,26,23.076923076923077
2025-09-19,4,13,30.76923076923077
2025-09-20,3,11,27.27272727272727
2025-09-21,2,9,22.22222222222222
2025-09-22,2,10,20.0
2025-09-23,2,23,8.695652173913043
2025-09-24,16,72,22.22222222222222
2025-09-25,6,15,40.0
2025-09-26,3,9,33.33333333333333
2025-09-27,3,9,33.33333333333333
2025-09-28,2,7,28.57142857142857
2025-09-29,1,7,14.285714285714285
2025-09-30,1,15,6.666666666666667
2025-10-01,2,61,3.278688524590164
2025-10-02,1,16,6.25
2025-10-03,1,9,11.11111111111111
2025-10-04,1,8,12.5
2025-10-05,1,7,14.285714285714285
2025-10-06,1,6,16.666666666666664
2025-10-07,1,14,7.142857142857142
2025-10-08,1,66,1.5151515151515151
2025-10-09,1,14,7.142857142857142
2025-10-10,1,10,10.0
2025-10-11,1,8,12.5
2025-10-12,1,7,14.285714285714285
2025-10-13,0,7,0.0
2025-10-14,1,15,6.666666666666667
2025-10-15,1,72,1.3888888888888888
2025-10-16,0,15,0.0
2025-10-17,0,9,0.0
2025-10-18,1,7,14.285714285714285
2025-10-19,1,6,16.666666666666664
2025-10-20,0,5,0.0
2025-10-21,0,13,0.0
2025-10-22,1,66,1.5151515151515151
2025-10-23,0,13,0.0
2025-10-24,0,8,0.0
2025-10-25,1,7,14.285714285714285
2025-10-26,1,6,16.666666666666664
2025-10-27,0,6,0.0
2025-10-28,0,12,0.0
2025-10-29,0,69,0.0
2025-10-30,0,12,0.0
2025-10-31,1,8,12.5
2025-11-01,1,6,16.666666666666664
2025-11-02,1,6,16.666666666666664
2025-11-03,0,5,0.0
2025-11-04,0,12,0.0
2025-11-05,1,81,1.2345679012345678
2025-11-06,0,17,0.0
2025-11-07,0,9,0.0
2025-11-08,0,9,0.0
2025-11-09,0,7,0.0
2025-11-10,0,6,0.0
2025-11-11,0,12,0.0
2025-11-12,0,84,0.0
2025-11-13,0,16,0.0
2025-11-14,0,10,0.0
2025-11-15,0,9,0.0
2025-11-16,0,9,0.0
2025-11-17,0,8,0.0
2025-11-18,0,12,0.0
2025-11-19,1,95,1.0526315789473684
2025-11-20,1,16,6.25
2025-11-21,0,11,0.0
2025-11-22,1,11,9.090909090909092
2025-11-23,1,10,10.0
2025-11-24,1,11,9.090909090909092
2025-11-25,1,39,2.564102564102564
