date,Elaine Hendrix,Dancing with the Stars,normalized_score
2025-09-16,0,48,0.0
2025-09-17,15,100,15.0
2025-09-18,3,26,11.538461538461538
2025-09-19,2,13,15.384615384615385
2025-09-20,2,11,18.181818181818183
2025-09-21,1,9,11.11111111111111
2025-09-22,1,10,10.0
2025-09-23,1,23,4.3478260869565215
2025-09-24,8,72,11.11111111111111
2025-09-25,2,15,13.333333333333334
2025-09-26,1,9,11.11111111111111
2025-09-27,1,9,11.11111111111111
2025-09-28,1,7,14.285714285714285
2025-09-29,0,7,0.0
2025-09-30,0,15,0.0
2025-10-01,4,61,6.557377049180328
2025-10-02,1,16,6.25
2025-10-03,1,9,11.11111111111111
2025-10-04,0,8,0.0
2025-10-05,0,7,0.0
2025-10-06,0,6,0.0
2025-10-07,0,14,0.0
2025-10-08,6,66,9.090909090909092
2025-10-09,2,14,14.285714285714285
2025-10-10,1,10,10.0
2025-10-11,1,8,12.5
2025-10-12,1,7,14.285714285714285
2025-10-13,1,7,14.285714285714285
2025-10-14,1,15,6.666666666666667
2025-10-15,6,72,8.333333333333332
2025-10-16,1,15,6.666666666666667
2025-10-17,1,9,11.11111111111111
2025-10-18,1,7,14.285714285714285
2025-10-19,0,6,0.0
2025-10-20,0,5,0.0
2025-10-21,0,13,0.0
2025-10-22,8,66,12.121212121212121
2025-10-23,2,13,15.384615384615385
2025-10-24,1,8,12.5
2025-10-25,1,7,14.285714285714285
2025-10-26,1,6,16.666666666666664
2025-10-27,0,6,0.0
2025-10-28,0,12,0.0
2025-10-29,7,69,10.144927536231885
2025-10-30,2,12,16.666666666666664
2025-10-31,1,8,12.5
2025-11-01,0,6,0.0
2025-11-02,0,6,0.0
2025-11-03,0,5,0.0
2025-11-04,0,12,0.0
2025-11-05,3,81,3.7037037037037033
2025-11-06,1,17,5.88235294117647
2025-11-07,0,9,0.0
2025-11-08,1,9,11.11111111111111
2025-11-09,1,7,14.285714285714285
2025-11-10,0,6,0.0
2025-11-11,0,12,0.0
2025-11-12,4,84,4.761904761904762
2025-11-13,1,16,6.25
2025-11-14,1,10,10.0
2025-11-15,0,9,0.0
2025-11-16,0,9,0.0
2025-11-17,0,8,0.0
2025-11-18,0,12,0.0
2025-11-19,9,95,9.473684210526317
2025-11-20,2,16,12.5
2025-11-21,1,11,9.090909090909092
2025-11-22,1,11,9.090909090909092
2025-11-23,1,10,10.0
2025-11-24,1,11,9.090909090909092
2025-11-25,1,39,2.564102564102564
