date,Hilaria Baldwin,Dancing with the Stars,normalized_score
2025-09-16,1,48,2.083333333333333
2025-09-17,13,100,13.0
2025-09-18,4,26,15.384615384615385
2025-09-19,3,13,23.076923076923077
2025-09-20,2,11,18.181818181818183
2025-09-21,1,9,11.11111111111111
2025-09-22,1,10,10.0
2025-09-23,1,23,4.3478260869565215
2025-09-24,8,72,11.11111111111111
2025-09-25,2,15,13.333333333333334
2025-09-26,1,9,11.11111111111111
2025-09-27,1,9,11.11111111111111
2025-09-28,1,7,14.285714285714285
2025-09-29,1,7,14.285714285714285
2025-09-30,1,15,6.666666666666667
2025-10-01,8,61,13.114754098360656
2025-10-02,4,16,25.0
2025-10-03,2,9,22.22222222222222
2025-10-04,2,8,25.0
2025-10-05,1,7,14.285714285714285
2025-10-06,1,6,16.666666666666664
2025-10-07,1,14,7.142857142857142
2025-10-08,13,66,19.696969696969695
2025-10-09,4,14,28.57142857142857
2025-10-10,2,10,20.0
2025-10-11,2,8,25.0
2025-10-12,2,7,28.57142857142857
2025-10-13,3,7,42.857142857142854
2025-10-14,3,15,20.0
2025-10-15,3,72,4.166666666666666
2025-10-16,2,15,13.333333333333334
2025-10-17,1,9,11.11111111111111
2025-10-18,1,7,14.285714285714285
2025-10-19,1,6,16.666666666666664
2025-10-20,1,5,20.0
2025-10-21,0,13,0.0
2025-10-22,1,66,1.5151515151515151
2025-10-23,1,13,7.6923076923076925
2025-10-24,0,8,0.0
2025-10-25,1,7,14.285714285714285
2025-10-26,0,6,0.0
2025-10-27,0,6,0.0
2025-10-28,0,12,0.0
2025-10-29,0,69,0.0
2025-10-30,0,12,0.0
2025-10-31,0,8,0.0
2025-11-01,0,6,0.0
2025-11-02,0,6,0.0
2025-11-03,0,5,0.0
2025-11-04,0,12,0.0
2025-11-05,0,81,0.0
2025-11-06,0,17,0.0
2025-11-07,0,9,0.0
2025-11-08,0,9,0.0
2025-11-09,0,7,0.0
2025-11-10,0,6,0.0
2025-11-11,0,12,0.0
2025-11-12,0,84,0.0
2025-11-13,0,16,0.0
2025-11-14,0,10,0.0
2025-11-15,0,9,0.0
2025-11-16,0,9,0.0
2025-11-17,0,8,0.0
2025-11-18,0,12,0.0
2025-11-19,0,95,0.0
2025-11-20,0,16,0.0
2025-11-21,0,11,0.0
2025-11-22,0,11,0.0
2025-11-23,0,10,0.0
2025-11-24,0,11,0.0
2025-11-25,0,39,0.0
