date,Jordan Chiles,Dancing with the Stars,normalized_score
2025-09-16,1,48,2.083333333333333
2025-09-17,2,100,2.0
2025-09-18,1,26,3.8461538461538463
2025-09-19,1,13,7.6923076923076925
2025-09-20,0,11,0.0
2025-09-21,0,9,0.0
2025-09-22,0,10,0.0
2025-09-23,0,23,0.0
2025-09-24,3,72,4.166666666666666
2025-09-25,1,15,6.666666666666667
2025-09-26,0,9,0.0
2025-09-27,0,9,0.0
2025-09-28,0,7,0.0
2025-09-29,0,7,0.0
2025-09-30,0,15,0.0
2025-10-01,3,61,4.918032786885246
2025-10-02,1,16,6.25
2025-10-03,0,9,0.0
2025-10-04,0,8,0.0
2025-10-05,0,7,0.0
2025-10-06,0,6,0.0
2025-10-07,0,14,0.0
2025-10-08,2,66,3.0303030303030303
2025-10-09,1,14,7.142857142857142
2025-10-10,0,10,0.0
2025-10-11,0,8,0.0
2025-10-12,0,7,0.0
2025-10-13,0,7,0.0
2025-10-14,0,15,0.0
2025-10-15,3,72,4.166666666666666
2025-10-16,1,15,6.666666666666667
2025-10-17,0,9,0.0
2025-10-18,0,7,0.0
2025-10-19,0,6,0.0
2025-10-20,0,5,0.0
2025-10-21,0,13,0.0
2025-10-22,2,66,3.0303030303030303
2025-10-23,1,13,7.6923076923076925
2025-10-24,0,8,0.0
2025-10-25,0,7,0.0
2025-10-26,0,6,0.0
2025-10-27,0,6,0.0
2025-10-28,0,12,0.0
2025-10-29,2,69,2.898550724637681
2025-10-30,1,12,8.333333333333332
2025-10-31,0,8,0.0
2025-11-01,0,6,0.0
2025-11-02,0,6,0.0
2025-11-03,0,5,0.0
2025-11-04,0,12,0.0
2025-11-05,2,81,2.4691358024691357
2025-11-06,1,17,5.88235294117647
2025-11-07,0,9,0.0
2025-11-08,1,9,11.11111111111111
2025-11-09,1,7,14.285714285714285
2025-11-10,1,6,16.666666666666664
2025-11-11,0,12,0.0
2025-11-12,3,84,3.571428571428571
2025-11-13,1,16,6.25
2025-11-14,1,10,10.0
2025-11-15,0,9,0.0
2025-11-16,0,9,0.0
2025-11-17,0,8,0.0
2025-11-18,0,12,0.0
2025-11-19,5,95,5.263157894736842
2025-11-20,1,16,6.25
2025-11-21,1,11,9.090909090909092
2025-11-22,0,11,0.0
2025-11-23,0,10,0.0
2025-11-24,0,11,0.0
2025-11-25,1,39,2.564102564102564
