inertia_weight,weeks_attempted,weeks_no_hit,elim_weeks_attempted,elim_weeks_no_hit,hit_rate_overall_%,hit_rate_elim_%,avg_acceptance_rate_rank_strict,avg_acceptance_rate_percentage,avg_acceptance_rate_rank_bottom2,avg_std_rank_strict,avg_std_percentage,avg_std_rank_bottom2,weeks_attempted_rank_strict,weeks_attempted_percentage,weeks_attempted_rank_bottom2,weeks_no_hit_rank_strict,weeks_no_hit_percentage,weeks_no_hit_rank_bottom2,iterations,concentration
0.0,335,0,264,0,100.0,100.0,42.830256,35.200961,53.697721,4.636667,4.019895,3.992108,14,248,73,0,0,0,300000,50.0
0.1,335,0,264,0,100.0,100.0,43.845641,35.460961,54.054516,4.643333,4.020285,3.990769,14,248,73,0,0,0,300000,50.0
0.2,335,0,264,0,100.0,100.0,44.972949,35.653495,54.335185,4.645641,4.018613,3.990769,14,248,73,0,0,0,300000,50.0
0.30000000000000004,335,0,264,0,100.0,100.0,46.485128,35.851943,54.58151,4.640513,4.014917,3.986396,14,248,73,0,0,0,300000,50.0
0.4,335,0,264,0,100.0,100.0,48.247821,36.048192,54.793006,4.619231,4.009054,3.98235,14,248,73,0,0,0,300000,50.0
0.5,335,0,264,0,100.0,100.0,50.092821,36.30673,55.04943,4.589615,3.999634,3.976225,14,248,73,0,0,0,300000,50.0
0.6000000000000001,335,1,264,1,99.701493,99.621212,52.493718,36.617777,55.364929,4.524487,3.995534,3.967778,14,248,73,0,1,0,300000,50.0
0.7000000000000001,335,1,264,1,99.701493,99.621212,55.575769,36.93032,55.955869,4.436282,3.979708,3.954558,14,248,73,0,1,0,300000,50.0
0.8,335,2,264,2,99.402985,99.242424,59.199744,37.324326,56.779929,4.358649,3.954582,3.933006,14,248,73,1,1,0,300000,50.0
0.9,335,3,264,3,99.104478,98.863636,62.508974,37.834797,57.608932,4.095135,3.910459,3.88886,14,248,73,1,2,0,300000,50.0
1.0,335,12,264,12,96.41791,95.454545,64.981154,38.918433,57.518262,3.317973,3.768794,3.71641,14,248,73,1,11,0,300000,50.0
