inertia_weight,,weeks_no_hit,,avg_acceptance_rate_rank_strict,avg_acceptance_rate_percentage,avg_acceptance_rate_rank_bottom2,avg_std_rank_strict,avg_std_percentage,avg_std_rank_bottom2
0,,0,,42.799872,35.199109,53.700313,4.637179,4.019639,3.991567
0.1,,0,,46.459103,36.198898,55.036567,4.638846,4.028903,3.992493
0.2,,0,,49.241026,36.985929,56.186524,4.626667,4.033215,3.989444
0.3,,0,,51.494615,37.61335,57.057892,4.585769,4.02318,3.981368
0.4,,2,,53.561795,38.189735,57.703433,4.503974,4.026618,3.970285
0.5,,2,,55.677308,38.704772,58.148405,4.307692,4.008026,3.951581
0.6,,4,,57.793205,39.211828,58.487564,4.417703,3.983455,3.927023
0.7,,4,,60.001538,39.714256,58.70614,4.271486,3.933971,3.894558
0.8,,6,,62.297436,40.248037,58.891125,4.084054,3.877007,3.850399
0.9,,9,,64.657436,40.863265,59.007593,3.839324,3.823542,3.79161
1,,15,,66.637692,41.720531,58.954986,3.342838,3.688987,3.690427
