Season,Week,Name,Judge_Score,Judge_Rank,Est_Fan_Rank_Mean,Est_Fan_Rank_Std,Prob_Fan_Favorite,Effective_Sample_Size,Actual_Result
1,2,John O'Hurley,26.0,1,3.51,1.69,16.2,167.0,Safe
1,2,Kelly Monaco,17.0,5,2.89,1.34,20.4,167.0,Safe
1,2,Evander Holyfield,14.0,6,2.23,1.04,30.5,167.0,Safe
1,2,Rachel Hunter,24.0,2,3.51,1.68,16.2,167.0,Safe
1,2,Joey McIntyre,21.0,3,3.39,1.62,16.8,167.0,Safe
1,2,Trista Sutter,19.0,4,5.47,0.69,0.0,167.0,Eliminated
1,3,John O'Hurley,24.0,2,4.08,1.13,4.7,26.1,Safe
1,3,Kelly Monaco,21.0,4,1.77,0.95,51.6,26.1,Safe
1,3,Evander Holyfield,13.0,5,2.79,1.06,8.1,26.1,Eliminated
1,3,Rachel Hunter,26.0,1,3.67,1.37,10.8,26.1,Safe
1,3,Joey McIntyre,22.0,3,2.68,1.25,24.8,26.1,Safe
1,4,John O'Hurley,21.0,3,2.6,0.64,8.6,3.7,Safe
1,4,Kelly Monaco,26.0,1,2.01,0.98,38.6,3.7,Safe
1,4,Rachel Hunter,25.0,2,3.91,0.28,0.0,3.7,Eliminated
1,4,Joey McIntyre,20.0,4,1.47,0.5,52.8,3.7,Safe
2,1,Tatum O'Neal,23.0,2,5.4,2.88,10.5,32907.0,Safe
2,1,Tia Carrere,20.0,6,5.28,2.82,10.6,32907.0,Safe
2,1,George Hamilton,18.0,8,4.79,2.6,11.8,32907.0,Safe
2,1,Lisa Rinna,19.0,7,5.12,2.77,11.4,32907.0,Safe
2,1,Stacy Keibler,22.0,4,5.41,2.89,10.6,32907.0,Safe
2,1,Jerry Rice,21.0,5,5.37,2.86,10.4,32907.0,Safe
2,1,Giselle Fernandez,23.0,3,5.41,2.87,10.1,32907.0,Safe
2,1,Master P,12.0,10,4.26,2.3,14.2,32907.0,Safe
2,1,Drew Lachey,24.0,1,5.42,2.9,10.4,32907.0,Safe
2,1,Kenny Mayne,13.0,9,8.54,1.35,0.0,32907.0,Eliminated
2,2,Tatum O'Neal,17.0,8,6.32,1.42,0.0,721.7,Eliminated
2,2,Tia Carrere,22.0,6,3.93,1.56,7.0,721.7,Safe
2,2,George Hamilton,22.0,5,2.5,1.31,26.1,721.7,Safe
2,2,Lisa Rinna,20.0,7,3.02,1.43,16.5,721.7,Safe
2,2,Stacy Keibler,29.0,1,7.55,1.38,0.0,721.7,Safe
2,2,Jerry Rice,23.0,4,4.97,1.78,2.7,721.7,Safe
2,2,Giselle Fernandez,24.0,3,6.8,1.58,0.2,721.7,Safe
2,2,Master P,16.0,9,1.87,1.04,47.4,721.7,Safe
2,2,Drew Lachey,27.0,2,8.04,1.11,0.0,721.7,Safe
2,3,Tia Carrere,26.0,3,4.05,1.68,6.9,628.8,Safe
2,3,George Hamilton,22.0,5,2.49,1.33,28.0,628.8,Safe
2,3,Lisa Rinna,25.0,4,3.19,1.54,15.2,628.8,Safe
2,3,Stacy Keibler,27.0,1,6.48,1.36,0.2,628.8,Safe
2,3,Jerry Rice,19.0,7,4.18,1.34,3.5,628.8,Safe
2,3,Giselle Fernandez,22.0,6,6.71,1.0,0.0,628.8,Eliminated
2,3,Master P,14.0,8,1.89,1.03,46.2,628.8,Safe
2,3,Drew Lachey,27.0,2,7.0,1.15,0.0,628.8,Safe
2,4,Tia Carrere,25.0,4,3.74,1.65,12.1,140.2,Safe
2,4,George Hamilton,21.0,6,1.74,0.98,53.8,140.2,Safe
2,4,Lisa Rinna,26.0,3,3.05,1.74,24.1,140.2,Safe
2,4,Stacy Keibler,26.0,2,5.83,1.33,1.1,140.2,Safe
2,4,Jerry Rice,24.0,5,3.93,1.41,6.8,140.2,Safe
2,4,Master P,8.0,7,3.39,1.16,1.6,140.2,Eliminated
2,4,Drew Lachey,28.0,1,6.31,1.02,0.3,140.2,Safe
2,5,Tia Carrere,22.0,6,4.09,1.18,0.4,75.9,Eliminated
2,5,George Hamilton,24.0,4,1.82,1.06,50.6,75.9,Safe
2,5,Lisa Rinna,25.0,3,2.39,1.35,31.6,75.9,Safe
2,5,Stacy Keibler,30.0,1,4.55,1.41,3.3,75.9,Safe
2,5,Jerry Rice,23.0,5,3.08,1.29,12.8,75.9,Safe
2,5,Drew Lachey,27.0,2,5.08,1.18,1.2,75.9,Safe
2,6,George Hamilton,23.0,4,3.57,0.87,0.0,19.5,Eliminated
2,6,Lisa Rinna,27.0,3,2.02,1.08,41.0,19.5,Safe
2,6,Stacy Keibler,30.0,1,3.62,1.37,10.4,19.5,Safe
2,6,Jerry Rice,23.0,5,1.76,0.8,44.1,19.5,Safe
2,6,Drew Lachey,30.0,2,4.04,1.14,4.6,19.5,Safe
2,7,Lisa Rinna,26.5,3,3.18,0.72,0.0,8.2,Eliminated
2,7,Stacy Keibler,27.5,1,2.61,1.16,21.0,8.2,Safe
2,7,Jerry Rice,20.5,4,1.38,0.59,67.3,8.2,Safe
2,7,Drew Lachey,27.5,2,2.83,0.98,11.8,8.2,Safe
