Season,Week,Celebrity,Rule_Mode,Judge_Total_Score_Raw,Actual_Result,Judge_Percent,Judge_Rank_Points,Est_Fan%_Mean_Bayesian,Est_Fan%_Std_Bayesian,Acceptance_Rate%_Bayesian,Est_Fan%_Mean_Uniform,Est_Fan%_Std_Uniform,Acceptance_Rate%_Uniform
,,,,,,,,,4.033244508,42.92057256,,9.606550234,39.87811667
1,1,Evander Holyfield,Rank (Strict Elimination),18,Safe,,2.5,11.8,4.52,100,16.68,14.08,100
1,1,Joey McIntyre,Rank (Strict Elimination),20,Safe,,5,12.5,4.63,100,16.68,14.1,100
1,1,John O'Hurley,Rank (Strict Elimination),20,Safe,,5,11.67,4.5,100,16.66,14.08,100
1,1,Kelly Monaco,Rank (Strict Elimination),13,Safe,,1,32.99,6.59,100,16.68,14.08,100
1,1,Rachel Hunter,Rank (Strict Elimination),20,Safe,,5,19.17,5.51,100,16.65,14.1,100
1,1,Trista Sutter,Rank (Strict Elimination),18,Safe,,2.5,11.88,4.53,100,16.65,14.07,100
1,2,Evander Holyfield,Rank (Strict Elimination),14,Safe,,1,17.4,3.69,11.11,28.37,12.97,9.9
1,2,Joey McIntyre,Rank (Strict Elimination),21,Safe,,4,12.61,3.5,11.11,16.49,12.72,9.9
1,2,John O'Hurley,Rank (Strict Elimination),26,Safe,,6,11.36,3.62,11.11,14.68,12.94,9.9
1,2,Kelly Monaco,Rank (Strict Elimination),17,Safe,,2,32.91,6.63,11.11,22.01,13.1,9.9
1,2,Rachel Hunter,Rank (Strict Elimination),24,Safe,,5,17.89,5.44,11.11,14.8,13,9.9
1,2,Trista Sutter,Rank (Strict Elimination),19,Eliminated,,3,7.83,2.36,11.11,3.65,3.08,9.9
1,3,Evander Holyfield,Rank (Strict Elimination),13,Eliminated,,1,13.12,3.99,88.86,8.88,7.03,46.71
1,3,Joey McIntyre,Rank (Strict Elimination),22,Safe,,3,15.05,5.05,88.86,20.83,16.49,46.71
1,3,John O'Hurley,Rank (Strict Elimination),24,Safe,,4,14.2,4.95,88.86,20.84,16.51,46.71
1,3,Kelly Monaco,Rank (Strict Elimination),21,Safe,,2,35.56,6.61,88.86,28.89,16.04,46.71
1,3,Rachel Hunter,Rank (Strict Elimination),26,Safe,,5,22.07,5.77,88.86,20.56,16.71,46.71
1,4,Joey McIntyre,Rank (Strict Elimination),20,Safe,,1,28.44,3.09,0.1,39.58,16.6,8.35
1,4,John O'Hurley,Rank (Strict Elimination),21,Safe,,2,28.34,3.24,0.1,39.63,16.6,8.35
1,4,Kelly Monaco,Rank (Strict Elimination),26,Safe,,4,24.1,1.69,0.1,14.56,6.65,8.35
1,4,Rachel Hunter,Rank (Strict Elimination),25,Eliminated,,3,19.12,3.03,0.1,6.23,4.83,8.35
1,5,Joey McIntyre,Rank (Strict Elimination),22.5,Safe,,1,24.46,6.02,100,33.38,23.58,100
1,5,John O'Hurley,Rank (Strict Elimination),27,Safe,,3,23.32,5.91,100,33.31,23.56,100
1,5,Kelly Monaco,Rank (Strict Elimination),23.5,Safe,,2,52.22,6.99,100,33.31,23.55,100
1,6,John O'Hurley,Rank (Strict Elimination),27,Safe,,1,35,6.68,100,50,28.88,100
1,6,Kelly Monaco,Rank (Strict Elimination),27.5,Safe,,2,65,6.68,100,50,28.88,100
2,1,Drew Lachey,Rank (Strict Elimination),24,Safe,,10,8.63,3.93,36.63,10.09,9.1,22.84
2,1,George Hamilton,Rank (Strict Elimination),18,Safe,,3,10.2,3.84,36.63,12.15,9.06,22.84
2,1,Giselle Fernandez,Rank (Strict Elimination),23,Safe,,8.5,7.79,3.75,36.63,10.07,9.05,22.84
2,1,Jerry Rice,Rank (Strict Elimination),21,Safe,,6,9.58,4.1,36.63,10.19,9.09,22.84
2,1,Kenny Mayne,Rank (Strict Elimination),13,Eliminated,,2,4.47,1.76,36.63,2.32,1.97,22.84
2,1,Lisa Rinna,Rank (Strict Elimination),19,Safe,,4,12.27,4.5,36.63,11,9.06,22.84
2,1,Master P,Rank (Strict Elimination),12,Safe,,1,10.44,3.53,36.63,13.64,9.02,22.84
2,1,Stacy Keibler,Rank (Strict Elimination),22,Safe,,7,21.82,5.77,36.63,10.08,9.05,22.84
2,1,Tatum O'Neal,Rank (Strict Elimination),23,Safe,,8.5,6.99,3.56,36.63,10.06,9.06,22.84
2,1,Tia Carrere,Rank (Strict Elimination),20,Safe,,5,7.82,3.68,36.63,10.4,9.05,22.84
2,2,Drew Lachey,Rank (Strict Elimination),27,Safe,,8,9.52,4.13,52.6,11.42,10.02,32.78
2,2,George Hamilton,Rank (Strict Elimination),22,Safe,,4.5,10.5,4.2,52.6,12.04,10.05,32.78
2,2,Giselle Fernandez,Rank (Strict Elimination),24,Safe,,7,8.67,3.97,52.6,11.43,10.03,32.78
2,2,Jerry Rice,Rank (Strict Elimination),23,Safe,,6,10.47,4.29,52.6,11.47,10.04,32.78
2,2,Lisa Rinna,Rank (Strict Elimination),20,Safe,,3,13.24,4.59,52.6,12.83,10.03,32.78
2,2,Master P,Rank (Strict Elimination),16,Safe,,1,10.78,3.79,52.6,14.25,9.94,32.78
2,2,Stacy Keibler,Rank (Strict Elimination),29,Safe,,9,22.71,5.85,52.6,11.42,10.03,32.78
2,2,Tatum O'Neal,Rank (Strict Elimination),17,Eliminated,,2,5.36,2.04,52.6,3.14,2.6,32.78
2,2,Tia Carrere,Rank (Strict Elimination),22,Safe,,4.5,8.74,3.9,52.6,12,10.03,32.78
2,3,Drew Lachey,Rank (Strict Elimination),27,Safe,,7.5,9.98,4.05,15.6,11.9,10.76,12.66
2,3,George Hamilton,Rank (Strict Elimination),22,Safe,,3.5,11.38,4.01,15.6,13.63,10.63,12.66
2,3,Giselle Fernandez,Rank (Strict Elimination),22,Eliminated,,3.5,5.78,1.92,15.6,2.56,2.2,12.66
2,3,Jerry Rice,Rank (Strict Elimination),19,Safe,,2,12.86,3.87,15.6,16.44,10.72,12.66
2,3,Lisa Rinna,Rank (Strict Elimination),25,Safe,,5,13.5,4.82,15.6,12.28,10.71,12.66
2,3,Master P,Rank (Strict Elimination),14,Safe,,1,13.79,3.51,15.6,19.41,10.69,12.66
2,3,Stacy Keibler,Rank (Strict Elimination),27,Safe,,7.5,23.64,5.99,15.6,11.85,10.71,12.66
2,3,Tia Carrere,Rank (Strict Elimination),26,Safe,,6,9.06,3.8,15.6,11.93,10.73,12.66
2,4,Drew Lachey,Rank (Strict Elimination),28,Safe,,7,11.85,4.59,44.91,14.66,12.52,38.1
2,4,George Hamilton,Rank (Strict Elimination),21,Safe,,2,14.46,4.16,44.91,19.22,12.35,38.1
2,4,Jerry Rice,Rank (Strict Elimination),24,Safe,,3,13.41,4.52,44.91,16.55,12.52,38.1
2,4,Lisa Rinna,Rank (Strict Elimination),26,Safe,,5.5,15.53,5.03,44.91,14.69,12.54,38.1
2,4,Master P,Rank (Strict Elimination),8,Eliminated,,1,8.44,2.55,44.91,4.95,4.11,38.1
2,4,Stacy Keibler,Rank (Strict Elimination),26,Safe,,5.5,25.38,6.06,44.91,14.73,12.55,38.1
2,4,Tia Carrere,Rank (Strict Elimination),25,Safe,,4,10.92,4.37,44.91,15.2,12.49,38.1
2,5,Drew Lachey,Rank (Strict Elimination),27,Safe,,5,13.58,4.91,74.05,17.4,14.52,56.52
2,5,George Hamilton,Rank (Strict Elimination),24,Safe,,3,14.7,4.95,74.05,18.55,14.47,56.52
2,5,Jerry Rice,Rank (Strict Elimination),23,Safe,,2,15.51,4.82,74.05,20.89,14.5,56.52
2,5,Lisa Rinna,Rank (Strict Elimination),25,Safe,,4,17.56,5.32,74.05,17.61,14.49,56.52
2,5,Stacy Keibler,Rank (Strict Elimination),30,Safe,,6,28.04,6.24,74.05,17.37,14.5,56.52
2,5,Tia Carrere,Rank (Strict Elimination),22,Eliminated,,1,10.6,3.33,74.05,8.18,6.64,56.52
2,6,Drew Lachey,Rank (Strict Elimination),30,Safe,,4.5,15.88,5.2,48.07,20.53,16.62,43.35
2,6,George Hamilton,Rank (Strict Elimination),23,Eliminated,,1.5,13.29,3.4,48.07,8.36,6.87,43.35
2,6,Jerry Rice,Rank (Strict Elimination),23,Safe,,1.5,19.89,4.58,48.07,28.35,16.07,43.35
2,6,Lisa Rinna,Rank (Strict Elimination),27,Safe,,3,20.17,5.42,48.07,22.27,16.35,43.35
2,6,Stacy Keibler,Rank (Strict Elimination),30,Safe,,4.5,30.78,6.41,48.07,20.49,16.62,43.35
2,7,Drew Lachey,Rank (Strict Elimination),27.5,Safe,,3.5,19.57,5.57,35.55,27.94,19.7,41.71
2,7,Jerry Rice,Rank (Strict Elimination),20.5,Safe,,1,25.33,4.63,35.55,34.6,18.1,41.71
2,7,Lisa Rinna,Rank (Strict Elimination),26.5,Eliminated,,2,18.86,3.69,35.55,9.58,6.96,41.71
2,7,Stacy Keibler,Rank (Strict Elimination),27.5,Safe,,3.5,36.23,6.47,35.55,27.89,19.69,41.71
2,8,Drew Lachey,Rank (Strict Elimination),28.9998,Safe,,3,25.9,6.13,100,33.33,23.57,100
2,8,Jerry Rice,Rank (Strict Elimination),26.6666,Safe,,1,27.39,6.25,100,33.37,23.6,100
2,8,Stacy Keibler,Rank (Strict Elimination),28.6665,Safe,,2,46.71,6.99,100,33.3,23.56,100
3,1,Emmitt Smith,Percentage (Judge% + Fan%),24,Safe,11.32,,7.42,3.67,50.78,9.53,8.63,32.46
3,1,Harry Hamlin,Percentage (Judge% + Fan%),17,Safe,8.02,,7.16,3.4,50.78,9.98,8.65,32.46
3,1,Jerry Springer,Percentage (Judge% + Fan%),16,Safe,7.55,,8.6,3.75,50.78,10.21,8.67,32.46
3,1,Joey Lawrence,Percentage (Judge% + Fan%),21,Safe,9.91,,9.29,4.06,50.78,9.6,8.65,32.46
3,1,Mario Lopez,Percentage (Judge% + Fan%),26,Safe,12.26,,11.49,4.49,50.78,9.55,8.68,32.46
3,1,Monique Coleman,Percentage (Judge% + Fan%),19,Safe,8.96,,7.16,3.51,50.78,9.74,8.66,32.46
3,1,Sara Evans,Percentage (Judge% + Fan%),15,Safe,7.08,,19.52,5.57,50.78,10.42,8.65,32.46
3,1,Shanna Moakler,Percentage (Judge% + Fan%),18,Safe,8.49,,8.98,3.93,50.78,9.83,8.64,32.46
3,1,Tucker Carlson,Percentage (Judge% + Fan%),12,Eliminated,5.66,,4.23,1.63,50.78,2.01,1.44,32.46
3,1,Vivica A. Fox,Percentage (Judge% + Fan%),22,Safe,10.38,,6.53,3.43,50.78,9.58,8.66,32.46
3,1,Willa Ford,Percentage (Judge% + Fan%),22,Safe,10.38,,9.61,4.14,50.78,9.55,8.63,32.46
3,2,Emmitt Smith,Percentage (Judge% + Fan%),24,Safe,10.43,,8.56,3.58,8.88,10.45,8.95,11.11
3,2,Harry Hamlin,Percentage (Judge% + Fan%),21,Safe,9.13,,8.65,3.26,8.88,11.58,8.95,11.11
3,2,Jerry Springer,Percentage (Judge% + Fan%),19,Safe,8.26,,10.15,3.57,8.88,12.45,8.93,11.11
3,2,Joey Lawrence,Percentage (Judge% + Fan%),29,Safe,12.61,,9.89,4.15,8.88,9.94,8.95,11.11
3,2,Mario Lopez,Percentage (Judge% + Fan%),21,Safe,9.13,,12.36,4.39,8.88,11.52,8.91,11.11
3,2,Monique Coleman,Percentage (Judge% + Fan%),26,Safe,11.3,,7.91,3.56,8.88,10.16,8.97,11.11
3,2,Sara Evans,Percentage (Judge% + Fan%),21,Safe,9.13,,20.13,5.61,8.88,11.55,8.92,11.11
3,2,Shanna Moakler,Percentage (Judge% + Fan%),22,Eliminated,9.57,,3.98,1.26,8.88,1.18,1,11.11
3,2,Vivica A. Fox,Percentage (Judge% + Fan%),24,Safe,10.43,,7.84,3.37,8.88,10.48,8.94,11.11
3,2,Willa Ford,Percentage (Judge% + Fan%),23,Safe,10,,10.52,4.07,8.88,10.69,8.85,11.11
3,3,Emmitt Smith,Percentage (Judge% + Fan%),19,Safe,9.18,,10.39,3.57,23.79,13.99,9.83,12.52
3,3,Harry Hamlin,Percentage (Judge% + Fan%),22,Eliminated,10.63,,4.18,1.46,23.79,1.45,1.21,12.52
3,3,Jerry Springer,Percentage (Judge% + Fan%),21,Safe,10.14,,10.54,3.86,23.79,12.99,9.81,12.52
3,3,Joey Lawrence,Percentage (Judge% + Fan%),22,Safe,10.63,,11.29,4.14,23.79,12.49,9.77,12.52
3,3,Mario Lopez,Percentage (Judge% + Fan%),22,Safe,10.63,,13.44,4.64,23.79,12.55,9.85,12.52
3,3,Monique Coleman,Percentage (Judge% + Fan%),27,Safe,13.04,,8.53,3.77,23.79,11.25,9.84,12.52
3,3,Sara Evans,Percentage (Judge% + Fan%),25,Safe,12.08,,21.96,5.78,23.79,11.51,9.77,12.52
3,3,Vivica A. Fox,Percentage (Judge% + Fan%),27,Safe,13.04,,8.08,3.65,23.79,11.26,9.85,12.52
3,3,Willa Ford,Percentage (Judge% + Fan%),22,Safe,10.63,,11.59,4.22,23.79,12.51,9.82,12.52
3,4,Emmitt Smith,Percentage (Judge% + Fan%),24,Safe,12.12,,10.81,3.85,28.12,14.15,10.77,13.33
3,4,Jerry Springer,Percentage (Judge% + Fan%),22,Safe,11.11,,11.89,3.96,28.12,15.15,10.8,13.33
3,4,Joey Lawrence,Percentage (Judge% + Fan%),27,Safe,13.64,,12.08,4.4,28.12,13.06,10.74,13.33
3,4,Mario Lopez,Percentage (Judge% + Fan%),29,Safe,14.65,,14.31,4.86,28.12,12.71,10.84,13.33
3,4,Monique Coleman,Percentage (Judge% + Fan%),24,Safe,12.12,,10.43,3.73,28.12,14.18,10.79,13.33
3,4,Sara Evans,Percentage (Judge% + Fan%),20,Safe,10.1,,23.1,5.87,28.12,16.13,10.78,13.33
3,4,Vivica A. Fox,Percentage (Judge% + Fan%),24,Eliminated,12.12,,5.02,1.71,28.12,1.77,1.46,13.33
3,4,Willa Ford,Percentage (Judge% + Fan%),28,Safe,14.14,,12.36,4.5,28.12,12.85,10.81,13.33
3,5,Emmitt Smith,Percentage (Judge% + Fan%),27,Safe,14.92,,12.5,3.88,8.69,15.61,11.63,10.89
3,5,Jerry Springer,Percentage (Judge% + Fan%),24,Safe,13.26,,13.94,3.88,8.69,17.22,11.64,10.89
3,5,Joey Lawrence,Percentage (Judge% + Fan%),25,Safe,13.81,,14.38,4.17,8.69,16.63,11.6,10.89
3,5,Mario Lopez,Percentage (Judge% + Fan%),27,Safe,14.92,,15.92,4.78,8.69,15.66,11.66,10.89
3,5,Monique Coleman,Percentage (Judge% + Fan%),27,Safe,14.92,,12.18,3.78,8.69,15.67,11.68,10.89
3,5,Sara Evans,Percentage (Judge% + Fan%),24,Safe,13.26,,24.25,5.9,8.69,17.26,11.66,10.89
3,5,Willa Ford,Percentage (Judge% + Fan%),27,Eliminated,14.92,,6.84,1.73,8.69,1.95,1.69,10.89
3,6,Emmitt Smith,Percentage (Judge% + Fan%),25,Safe,21.19,,16.6,5.21,100,20.01,16.31,100
3,6,Jerry Springer,Percentage (Judge% + Fan%),18,Safe,15.25,,18.8,5.47,100,19.98,16.32,100
3,6,Joey Lawrence,Percentage (Judge% + Fan%),24,Safe,20.34,,21.64,5.77,100,20.01,16.31,100
3,6,Mario Lopez,Percentage (Judge% + Fan%),28,Safe,23.73,,27.62,6.26,100,20,16.32,100
3,6,Monique Coleman,Percentage (Judge% + Fan%),23,Safe,19.49,,15.34,5.04,100,20,16.31,100
3,7,Emmitt Smith,Percentage (Judge% + Fan%),28.5,Safe,21.11,,18.12,4.73,35.04,23.55,17.05,31.08
3,7,Jerry Springer,Percentage (Judge% + Fan%),23,Eliminated,17.04,,13.84,2.95,35.04,4.98,3.76,31.08
3,7,Joey Lawrence,Percentage (Judge% + Fan%),28.5,Safe,21.11,,22.32,5.54,35.04,23.55,17.04,31.08
3,7,Mario Lopez,Percentage (Judge% + Fan%),28,Safe,20.74,,28.02,6.23,35.04,23.73,17.05,31.08
3,7,Monique Coleman,Percentage (Judge% + Fan%),27,Safe,20,,17.71,4.44,35.04,24.19,17.04,31.08
3,8,Emmitt Smith,Percentage (Judge% + Fan%),27,Safe,24.77,,23.09,4.87,52.83,31.59,18.75,26.97
3,8,Joey Lawrence,Percentage (Judge% + Fan%),27,Safe,24.77,,27.52,5.69,52.83,31.6,18.78,26.97
3,8,Mario Lopez,Percentage (Judge% + Fan%),28.5,Safe,26.15,,33.87,6.51,52.83,30.37,18.76,26.97
3,8,Monique Coleman,Percentage (Judge% + Fan%),26.5,Eliminated,24.31,,15.52,3.48,52.83,6.45,4.97,26.97
