Season,Week,Celebrity,Judge_Total_Score_Raw,Rule_Mode,Estimated_Fan_Vote_Percent_Mean,Estimated_Fan_Vote_Percent_Std,Acceptance_Rate_Percent,Actual_Result,Judge_Rank_Points,Judge_Percent
1,1,John O'Hurley,20.0,Rank (Strict Elimination),16.63,14.06,100.0,Safe,5.0,
1,1,Kelly Monaco,13.0,Rank (Strict Elimination),16.62,14.05,100.0,Safe,1.0,
1,1,Evander Holyfield,18.0,Rank (Strict Elimination),16.75,14.1,100.0,Safe,2.5,
1,1,Rachel Hunter,20.0,Rank (Strict Elimination),16.62,14.09,100.0,Safe,5.0,
1,1,Joey McIntyre,20.0,Rank (Strict Elimination),16.68,14.11,100.0,Safe,5.0,
1,1,Trista Sutter,18.0,Rank (Strict Elimination),16.7,14.08,100.0,Safe,2.5,
1,2,John O'Hurley,26.0,Rank (Strict Elimination),16.1,4.77,9.99,Safe,6.0,
1,2,Kelly Monaco,17.0,Rank (Strict Elimination),19.07,4.12,9.99,Safe,2.0,
1,2,Evander Holyfield,14.0,Rank (Strict Elimination),21.09,3.82,9.99,Safe,1.0,
1,2,Rachel Hunter,24.0,Rank (Strict Elimination),16.0,4.77,9.99,Safe,5.0,
1,2,Joey McIntyre,21.0,Rank (Strict Elimination),16.95,4.34,9.99,Safe,4.0,
1,2,Trista Sutter,19.0,Rank (Strict Elimination),10.8,2.42,9.99,Eliminated,3.0,
1,3,John O'Hurley,24.0,Rank (Strict Elimination),18.77,5.43,33.2,Safe,4.0,
1,3,Kelly Monaco,21.0,Rank (Strict Elimination),25.26,4.73,33.2,Safe,2.0,
1,3,Evander Holyfield,13.0,Rank (Strict Elimination),18.23,3.58,33.2,Eliminated,1.0,
1,3,Rachel Hunter,26.0,Rank (Strict Elimination),18.0,5.79,33.2,Safe,5.0,
1,3,Joey McIntyre,22.0,Rank (Strict Elimination),19.74,5.51,33.2,Safe,3.0,
1,4,John O'Hurley,21.0,Rank (Strict Elimination),29.34,3.93,5.23,Safe,2.0,
1,4,Kelly Monaco,26.0,Rank (Strict Elimination),23.33,2.19,5.23,Safe,4.0,
1,4,Rachel Hunter,25.0,Rank (Strict Elimination),17.6,3.26,5.23,Eliminated,3.0,
1,4,Joey McIntyre,20.0,Rank (Strict Elimination),29.73,4.03,5.23,Safe,1.0,
1,5,John O'Hurley,27.0,Rank (Strict Elimination),35.61,6.72,100.0,Safe,3.0,
1,5,Kelly Monaco,23.5,Rank (Strict Elimination),28.25,6.32,100.0,Safe,2.0,
1,5,Joey McIntyre,22.5,Rank (Strict Elimination),36.14,6.73,100.0,Safe,1.0,
1,6,John O'Hurley,27.0,Rank (Strict Elimination),55.72,6.97,100.0,Safe,1.0,
1,6,Kelly Monaco,27.5,Rank (Strict Elimination),44.28,6.97,100.0,Safe,2.0,
2,1,Tatum O'Neal,23.0,Rank (Strict Elimination),10.14,9.18,23.05,Safe,8.5,
2,1,Tia Carrere,20.0,Rank (Strict Elimination),10.35,8.93,23.05,Safe,5.0,
2,1,George Hamilton,18.0,Rank (Strict Elimination),12.02,8.94,23.05,Safe,3.0,
2,1,Lisa Rinna,19.0,Rank (Strict Elimination),11.0,9.11,23.05,Safe,4.0,
2,1,Stacy Keibler,22.0,Rank (Strict Elimination),10.15,9.08,23.05,Safe,7.0,
2,1,Jerry Rice,21.0,Rank (Strict Elimination),10.1,9.09,23.05,Safe,6.0,
2,1,Giselle Fernandez,23.0,Rank (Strict Elimination),10.15,9.04,23.05,Safe,8.5,
2,1,Master P,12.0,Rank (Strict Elimination),13.66,9.0,23.05,Safe,1.0,
2,1,Drew Lachey,24.0,Rank (Strict Elimination),10.09,9.08,23.05,Safe,10.0,
2,1,Kenny Mayne,13.0,Rank (Strict Elimination),2.34,1.99,23.05,Eliminated,2.0,
2,2,Tatum O'Neal,17.0,Rank (Strict Elimination),7.1,2.19,44.92,Eliminated,2.0,
2,2,Tia Carrere,22.0,Rank (Strict Elimination),11.13,4.23,44.92,Safe,4.5,
2,2,George Hamilton,22.0,Rank (Strict Elimination),12.77,4.49,44.92,Safe,4.5,
2,2,Lisa Rinna,20.0,Rank (Strict Elimination),12.24,4.21,44.92,Safe,3.0,
2,2,Stacy Keibler,29.0,Rank (Strict Elimination),10.51,4.34,44.92,Safe,9.0,
2,2,Jerry Rice,23.0,Rank (Strict Elimination),10.51,4.3,44.92,Safe,6.0,
2,2,Giselle Fernandez,24.0,Rank (Strict Elimination),10.49,4.3,44.92,Safe,7.0,
2,2,Master P,16.0,Rank (Strict Elimination),14.86,4.52,44.92,Safe,1.0,
2,2,Drew Lachey,27.0,Rank (Strict Elimination),10.4,4.28,44.92,Safe,8.0,
2,3,Tia Carrere,26.0,Rank (Strict Elimination),11.77,4.35,21.53,Safe,6.0,
2,3,George Hamilton,22.0,Rank (Strict Elimination),14.23,4.47,21.53,Safe,3.5,
2,3,Lisa Rinna,25.0,Rank (Strict Elimination),13.19,4.54,21.53,Safe,5.0,
2,3,Stacy Keibler,27.0,Rank (Strict Elimination),11.18,4.35,21.53,Safe,7.5,
2,3,Jerry Rice,19.0,Rank (Strict Elimination),13.82,3.72,21.53,Safe,2.0,
2,3,Giselle Fernandez,22.0,Rank (Strict Elimination),7.1,2.06,21.53,Eliminated,3.5,
2,3,Master P,14.0,Rank (Strict Elimination),17.63,4.48,21.53,Safe,1.0,
2,3,Drew Lachey,27.0,Rank (Strict Elimination),11.08,4.3,21.53,Safe,7.5,
2,4,Tia Carrere,25.0,Rank (Strict Elimination),13.76,4.64,17.56,Safe,4.0,
2,4,George Hamilton,21.0,Rank (Strict Elimination),18.34,4.26,17.56,Safe,2.0,
2,4,Lisa Rinna,26.0,Rank (Strict Elimination),14.54,5.04,17.56,Safe,5.5,
2,4,Stacy Keibler,26.0,Rank (Strict Elimination),12.12,4.75,17.56,Safe,5.5,
2,4,Jerry Rice,24.0,Rank (Strict Elimination),16.83,4.61,17.56,Safe,3.0,
2,4,Master P,8.0,Rank (Strict Elimination),12.43,2.74,17.56,Eliminated,1.0,
2,4,Drew Lachey,28.0,Rank (Strict Elimination),11.99,4.78,17.56,Safe,7.0,
2,5,Tia Carrere,22.0,Rank (Strict Elimination),13.79,3.86,74.45,Eliminated,1.0,
2,5,George Hamilton,24.0,Rank (Strict Elimination),21.45,5.57,74.45,Safe,3.0,
2,5,Lisa Rinna,25.0,Rank (Strict Elimination),16.81,5.28,74.45,Safe,4.0,
2,5,Stacy Keibler,30.0,Rank (Strict Elimination),13.81,4.97,74.45,Safe,6.0,
2,5,Jerry Rice,23.0,Rank (Strict Elimination),20.48,5.19,74.45,Safe,2.0,
2,5,Drew Lachey,27.0,Rank (Strict Elimination),13.65,4.9,74.45,Safe,5.0,
2,6,George Hamilton,23.0,Rank (Strict Elimination),19.73,4.02,33.43,Eliminated,1.5,
2,6,Lisa Rinna,27.0,Rank (Strict Elimination),21.47,4.93,33.43,Safe,3.0,
2,6,Stacy Keibler,30.0,Rank (Strict Elimination),15.8,5.31,33.43,Safe,4.5,
2,6,Jerry Rice,23.0,Rank (Strict Elimination),27.52,4.95,33.43,Safe,1.5,
2,6,Drew Lachey,30.0,Rank (Strict Elimination),15.48,5.24,33.43,Safe,4.5,
2,7,Lisa Rinna,26.5,Rank (Strict Elimination),20.63,3.39,31.76,Eliminated,2.0,
2,7,Stacy Keibler,27.5,Rank (Strict Elimination),22.35,6.15,31.76,Safe,3.5,
2,7,Jerry Rice,20.5,Rank (Strict Elimination),35.16,6.01,31.76,Safe,1.0,
2,7,Drew Lachey,27.5,Rank (Strict Elimination),21.87,6.2,31.76,Safe,3.5,
2,8,Stacy Keibler,28.6665,Rank (Strict Elimination),28.13,6.27,100.0,Safe,2.0,
2,8,Jerry Rice,26.666600000000003,Rank (Strict Elimination),44.32,6.98,100.0,Safe,1.0,
2,8,Drew Lachey,28.9998,Rank (Strict Elimination),27.55,6.27,100.0,Safe,3.0,
3,1,Harry Hamlin,17.0,Percentage (Judge% + Fan%),10.08,8.73,32.88,Safe,,8.02
3,1,Vivica A. Fox,22.0,Percentage (Judge% + Fan%),9.51,8.67,32.88,Safe,,10.38
3,1,Monique Coleman,19.0,Percentage (Judge% + Fan%),9.66,8.59,32.88,Safe,,8.96
3,1,Joey Lawrence,21.0,Percentage (Judge% + Fan%),9.68,8.76,32.88,Safe,,9.91
3,1,Mario Lopez,26.0,Percentage (Judge% + Fan%),9.51,8.69,32.88,Safe,,12.26
3,1,Emmitt Smith,24.0,Percentage (Judge% + Fan%),9.57,8.68,32.88,Safe,,11.32
3,1,Shanna Moakler,18.0,Percentage (Judge% + Fan%),9.88,8.6,32.88,Safe,,8.49
3,1,Willa Ford,22.0,Percentage (Judge% + Fan%),9.6,8.68,32.88,Safe,,10.38
3,1,Sara Evans,15.0,Percentage (Judge% + Fan%),10.37,8.61,32.88,Safe,,7.08
3,1,Jerry Springer,16.0,Percentage (Judge% + Fan%),10.11,8.56,32.88,Safe,,7.55
3,1,Tucker Carlson,12.0,Percentage (Judge% + Fan%),2.02,1.43,32.88,Eliminated,,5.66
3,2,Harry Hamlin,21.0,Percentage (Judge% + Fan%),11.15,3.96,11.03,Safe,,9.13
3,2,Vivica A. Fox,24.0,Percentage (Judge% + Fan%),10.18,3.86,11.03,Safe,,10.43
3,2,Monique Coleman,26.0,Percentage (Judge% + Fan%),10.15,4.06,11.03,Safe,,11.3
3,2,Joey Lawrence,29.0,Percentage (Judge% + Fan%),9.92,4.12,11.03,Safe,,12.61
3,2,Mario Lopez,21.0,Percentage (Judge% + Fan%),10.63,3.76,11.03,Safe,,9.13
3,2,Emmitt Smith,24.0,Percentage (Judge% + Fan%),10.27,3.92,11.03,Safe,,10.43
3,2,Shanna Moakler,22.0,Percentage (Judge% + Fan%),4.57,1.33,11.03,Eliminated,,9.57
3,2,Willa Ford,23.0,Percentage (Judge% + Fan%),10.35,3.88,11.03,Safe,,10.0
3,2,Sara Evans,21.0,Percentage (Judge% + Fan%),11.31,4.05,11.03,Safe,,9.13
3,2,Jerry Springer,19.0,Percentage (Judge% + Fan%),11.47,3.81,11.03,Safe,,8.26
3,3,Harry Hamlin,22.0,Percentage (Judge% + Fan%),5.61,1.47,9.82,Eliminated,,10.63
3,3,Vivica A. Fox,27.0,Percentage (Judge% + Fan%),10.94,4.13,9.82,Safe,,13.04
3,3,Monique Coleman,27.0,Percentage (Judge% + Fan%),10.84,4.21,9.82,Safe,,13.04
3,3,Joey Lawrence,22.0,Percentage (Judge% + Fan%),11.42,3.85,9.82,Safe,,10.63
